Class;LocalEapprxmaxLvl;LocalEapprxmaxVal;LocalEdetmaxLvl;LocalEdetmaxVal;GlobalEapprxmaxLvl;GlobalEapprxmaxVal;GlobalEdetmaxLvl;GlobalEdetmaxVal;standard deviation;kurtosis;skewness;ACF_max_lvl;ACF_max_val
1;0; 462.25;2; 150.06;0; 38004.25;2; 3051.80; 4.44522; 4.37298; 0.10109;1.00000; 0.88298
1;0; 380.25;3; 139.54;0; 18696.75;2; 1639.95; 3.11479; 11.00103; 0.16984;1.00000; 0.88457
1;0; 1296.00;2; 280.56;0; 196918.50;2; 16160.62; 5.04455; 6.37507; 0.12929;1.00000; 0.88879
1;0; 529.00;3; 201.29;0; 68661.00;2; 5557.22; 4.19882; 5.69933; 0.04899;1.00000; 0.90232
2;0; 2704.00;3; 859.22;0; 150296.75;2; 13138.80; 8.74477; 7.77893; 0.35371;1.00000; 0.92042
2;0; 992.25;3; 317.29;0; 43081.25;2; 2879.36; 4.67025; 9.41546; 0.06100;1.00000; 0.92486
2;0; 1764.00;2; 570.02;0; 375975.75;2; 31959.02; 6.94361; 5.60789; 0.12723;1.00000; 0.90416
2;0; 961.00;3; 297.56;0; 52696.50;2; 4049.09; 5.19149; 5.31615; -0.04376;1.00000; 0.90701
